Location,Burrito,Hunger,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Wrap,Cost,Reviewer,Rec,overall
valentines mexican food,carne asada,3.0,4.5,4.7,4.5,3.5,4.0,4.5,4.5,5.0,6.75,scott,Yes,4.2
valentines mexican food,pork california,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,7.9,justin k,Yes,5.0
valentines mexican food,california,4.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,2.0,7.9,shreejoy,Yes,4.5
valentines mexican food,california,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,7.9,@synapticlee,Yes,4.0
valentines mexican food,california,3.5,4.0,3.5,4.7,4.0,4.5,4.5,4.5,3.5,7.9,@danjlurie,Yes,4.7
cancun mexican & seafood,california,4.3,4.8,5.0,4.0,4.4,5.0,4.0,4.3,5.0,6.99,scott,Yes,4.5
cancun mexican & seafood,california,4.0,4.5,4.5,4.0,4.5,4.0,4.0,3.5,5.0,6.99,emily,Yes,4.5
los panchos taco shop,california,3.0,3.5,5.0,4.0,3.0,4.0,3.0,3.5,3.0,6.25,scott,Yes,3.7
los panchos taco shop,bitchin california,4.0,4.0,4.0,5.0,4.5,4.0,3.5,5.0,5.0,7.25,richard,Yes,4.4
los panchos taco shop,tijuana,3.5,4.0,4.0,3.5,4.0,4.0,3.5,4.5,3.5,7.0,tom,Yes,3.7
pollos maria,combo chicken,3.5,3.5,2.5,4.0,3.5,3.0,2.5,2.5,0.5,6.99,scott,Yes,3.8
pollos maria,carne asada,3.0,3.5,4.0,3.0,4.0,3.5,4.0,3.0,4.5,6.49,emily,No,3.5
el pollo loco,chicken avocado,3.5,2.0,3.0,3.8,2.5,2.5,3.0,2.5,2.6,5.99,scott,No,3.2
gloria's taco shop,california,3.0,4.0,1.5,2.0,3.0,4.2,4.0,3.0,4.5,5.65,scott,No,2.7
gloria's taco shop,cabeza,3.0,4.5,5.0,2.0,2.0,2.5,3.5,3.0,3.0,5.49,richard,No,2.0
mr. ruribertos taco shop,california,4.0,3.5,2.5,3.0,3.3,1.4,2.3,2.2,4.5,7.75,scott,No,2.9
mr. ruribertos taco shop,carne asada,4.0,4.0,4.5,2.0,2.0,3.5,3.5,2.0,4.0,7.75,brent,No,3.0
los tacos,fusion,3.9,3.0,4.5,4.1,3.0,3.7,4.0,4.3,5.0,8.5,scott,Yes,3.9
los tacos,local,4.0,3.5,4.0,4.0,3.0,4.0,4.5,4.0,4.8,7.9,emily,Yes,3.8
taco villa,chicken,3.5,2.5,4.5,3.0,2.5,3.0,3.0,2.0,4.0,4.99,scott,No,3.0
lupe's taco shop,hot cheetos,3.5,3.0,2.0,3.5,3.5,3.0,2.5,3.7,4.2,7.29,scott,Yes,3.7
lupe's taco shop,surfin california,3.0,4.0,5.0,4.5,4.0,4.5,3.5,3.0,2.5,7.89,richard,Yes,4.25
lupe's taco shop,california,3.7,4.0,3.5,3.9,4.0,3.7,2.0,3.5,4.0,7.49,tom,Yes,3.9
los tacos,local,3.5,4.5,5.0,4.0,3.5,4.0,2.8,4.0,3.7,7.9,scott,Yes,4.2
los tacos,local,2.0,4.2,4.0,4.2,3.8,4.0,3.0,3.8,5.0,7.9,emily,Yes,4.2
taco villa,pollo asado,4.5,2.0,4.0,2.5,3.5,4.5,3.0,2.0,3.4,5.99,scott,No,3.1
taco villa,al pastor,3.5,2.5,4.5,4.0,4.0,2.0,3.0,3.0,4.0,6.99,ricardo,No,3.0
rigoberto's taco shop la jolla,california,3.5,3.0,2.0,3.5,3.5,4.0,3.0,3.5,4.5,6.85,scott,Yes,3.6
rigoberto's taco shop la jolla,california,4.0,5.0,5.0,4.5,4.0,5.0,4.0,4.0,5.0,6.85,nihal,Yes,4.3
cotixan,california,4.5,4.0,2.0,3.0,3.8,3.5,2.0,4.0,4.0,7.19,scott,Yes,3.5
los tacos,local,2.5,3.0,4.5,4.3,4.0,3.0,3.1,3.9,3.0,7.9,scott,Yes,4.1
los tacos,local,3.0,3.0,3.5,4.5,4.0,4.0,4.0,4.0,3.5,7.9,emily,Yes,4.0
los tacos,local,3.0,3.5,4.0,4.0,4.0,4.5,3.5,4.0,4.0,7.9,spencer,Yes,4.0
lourdes,carnitas,3.5,3.5,3.0,3.5,3.0,4.5,4.5,4.0,5.0,7.35,emily,Yes,3.75
lourdes,california,3.5,4.0,3.0,3.0,3.0,2.5,3.0,3.5,5.0,6.35,scott,No,3.1
california burritos,california everything,4.5,4.5,3.0,3.5,4.5,3.5,4.0,3.5,4.3,6.5,scott,Yes,4.1
california burritos,california everything,4.0,4.0,3.5,4.5,4.0,3.5,4.5,4.0,4.5,6.5,ricardo,Yes,4.0
california burritos,california everything mini,4.0,4.0,4.0,4.5,4.3,4.5,4.5,4.8,5.0,4.75,luis,Yes,4.5
california burritos,surf & turf,4.0,4.0,4.0,4.0,3.5,3.5,3.0,2.0,3.5,6.75,hannah,Yes,3.5
california burritos,california everything,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,6.5,clark,Yes,4.0
los palmitos,california,4.0,4.5,5.0,3.8,3.8,4.0,4.0,3.9,5.0,7.1,scott,Yes,4.3
los palmitos,surf & turf,3.5,3.5,4.0,4.0,3.0,3.5,4.5,3.5,5.0,8.25,emily,Yes,3.6
taco villa,carnitas,4.0,2.0,4.5,4.5,3.0,3.8,4.4,2.5,3.0,5.99,scott,Yes,4.0
taco villa,carnitas,4.0,4.0,4.0,4.0,3.0,4.0,3.5,2.5,5.0,5.99,richard,Yes,3.5
lupe's taco shop,tgunz,3.0,3.0,4.0,3.2,3.5,1.8,1.8,3.5,3.5,10.0,scott,Yes,3.9
lupe's taco shop,tgunz,4.2,3.0,4.5,3.5,3.5,2.5,2.0,3.0,4.5,10.0,ricardo,Yes,3.5
filiberto's,adobada,4.4,4.2,4.5,4.0,3.0,5.0,3.8,2.5,5.0,6.25,scott,Yes,3.7
filiberto's,california,3.0,4.5,4.5,3.7,3.5,4.0,3.5,3.0,4.5,6.25,emily,Yes,4.0
don carlos taco shop,california,5.0,3.5,4.2,3.3,3.7,4.0,4.0,2.9,5.0,7.75,scott,Yes,3.7
don carlos taco shop,california,2.5,4.0,4.0,2.6,3.6,4.0,4.0,3.6,4.0,7.75,luis,No,2.9
rubios ucsd,grilled fish salmon,4.0,3.5,3.0,3.5,3.5,4.0,2.0,4.0,4.0,8.99,tom,Yes,3.4
rigoberto's taco shop,california,4.0,3.5,5.0,3.3,3.0,5.0,2.0,3.0,3.5,6.85,scott,Yes,3.9
rigoberto's taco shop,california,4.0,4.0,5.0,4.0,4.0,5.0,3.5,2.0,4.0,6.85,elynn,Yes,4.0
el dorado mexican food,california,3.3,5.0,4.0,4.2,3.5,2.9,3.0,4.0,4.0,7.4,scott,Yes,4.0
el dorado mexican food,california,3.5,4.5,4.0,4.0,3.5,3.0,3.0,2.5,3.8,7.4,emily,Yes,3.8
los tacos 2,cheese steak,4.2,3.5,5.0,3.0,1.5,3.0,2.5,3.0,2.5,9.95,scott,No,2.8
roberto's taco shop hillcrest,asada,3.5,4.0,4.0,2.0,2.5,4.5,4.0,3.0,4.5,7.0,scott,No,2.8
roberto's taco shop hillcrest,california surf and turf,3.0,3.5,4.0,4.0,4.0,4.5,4.5,2.0,4.0,9.0,richard,Yes,4.0
roberto's taco shop hillcrest,california,3.5,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,7.0,tom,No,2.2
burros and fries,shrimp california,4.0,3.0,4.0,4.0,2.5,2.5,3.0,3.0,5.0,6.99,emily,No,3.0
burros and fries,california,3.5,3.5,4.5,3.5,3.5,3.0,3.5,4.0,5.0,7.19,scott,Yes,3.8
cotixan,california,4.3,3.0,3.0,3.5,3.5,3.5,3.5,3.8,5.0,6.9,scott,Yes,3.7
vallarta express,surf & turf,3.0,3.0,2.5,3.0,3.0,3.5,2.8,3.5,1.5,8.55,scott,No,3.0
vallarta express,california,2.5,3.0,2.0,3.5,3.0,3.0,4.0,3.0,4.5,7.8,emily,Yes,3.5
caliente mexican food,carne asada,2.5,2.5,3.0,2.5,3.5,4.5,4.5,3.7,4.5,5.56,scott,Yes,3.5
caliente mexican food,carne asada,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,5.56,chris g,Yes,4.0
caliente mexican food,california,4.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,6.47,erik k,No,2.0
taco villa,carne asada,3.0,3.0,4.5,2.0,3.0,2.5,4.0,2.0,4.0,6.99,richard,No,2.0
los tacos 2,local,3.8,4.0,4.5,3.0,4.0,3.0,2.5,3.5,3.0,8.5,scott,Yes,4.0
los tacos 2,local,4.0,4.0,4.0,3.75,4.0,3.5,3.5,4.0,3.5,8.5,emily,Yes,4.0
valentines mexican food,carne asada,4.0,4.0,4.5,3.5,3.5,4.5,4.5,3.0,4.0,6.75,scott,Yes,3.9
vallarta express,california,4.5,3.0,3.0,4.0,3.0,4.0,2.5,4.0,4.0,8.35,scott,Yes,4.1
lalo's tacos,california,3.0,3.75,5.0,3.0,3.5,5.0,5.0,2.0,2.8,7.75,daniel a,No,2.8
roberto's taco shop hillcrest,california,4.0,4.5,5.0,4.0,4.0,4.0,3.7,3.8,4.8,7.0,simon,Yes,4.2
kotija jr,california,4.0,4.0,5.0,3.5,3.8,3.0,2.5,3.3,5.0,6.99,scott,Yes,3.7
kotija jr,steak fajitas,3.0,3.5,5.0,4.0,4.0,4.5,4.75,3.75,5.0,7.1,emily,Yes,4.2
el rey moro,hashbrown,4.0,3.0,3.0,2.0,2.5,1.5,2.5,2.5,5.0,6.47,scott,No,3.2
el rey moro,hashbrown,3.5,2.5,3.5,3.5,3.5,3.5,4.0,3.0,4.5,8.94,emily,Yes,3.8
taco villa,carnitas,2.0,2.0,2.5,4.0,3.0,4.0,3.5,3.0,5.0,5.99,scott,Yes,3.8
taco villa,carne asada,3.5,4.0,4.0,4.0,4.5,4.0,3.5,4.0,4.0,6.99,nuttida,Yes,4.3
los tacos,local,3.5,3.5,4.0,4.5,4.0,3.0,4.0,3.5,5.0,8.5,scott,Yes,4.3
los tacos,local,3.5,4.0,4.0,4.0,4.5,4.2,4.5,4.0,4.8,8.5,emily,Yes,4.5
rigoberto's taco shop,california,3.5,3.0,4.5,3.8,3.8,4.0,3.5,3.5,3.0,6.85,scott,Yes,4.1
rigoberto's taco shop,california,3.5,3.0,4.5,4.0,4.0,4.5,3.0,4.0,3.5,6.85,sage,Yes,4.25
taco stand,california,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.5,4.5,7.89,scott,Yes,4.2
taco stand,california,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,7.89,ben s,Yes,4.5
lolita's taco shop,california,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,7.25,ben s,Yes,3.5
los tacos 2,local,4.0,4.0,4.0,3.0,3.5,1.0,2.0,3.0,1.0,8.5,scott,No,3.0
rigoberto's taco shop,carne asada,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,7.2,han mee,Yes,4.0
taco villa,carnitas,3.0,3.5,5.0,4.3,3.5,5.0,4.0,3.0,2.0,5.99,scott,Yes,4.1
taco villa,carnitas,3.5,4.0,4.5,5.0,4.5,5.0,4.0,4.0,4.0,5.99,nuttida,Yes,4.0
taco villa,carnitas,2.0,2.0,3.5,4.5,4.0,4.0,2.0,3.0,2.0,5.99,elynn,Yes,3.5
mikes taco club,california,4.0,4.5,4.5,4.0,4.0,3.0,4.0,3.5,3.0,8.99,scott,Yes,4.2
taco villa,chile verde (pork),3.5,4.0,4.5,3.5,3.0,4.5,3.0,3.0,2.5,5.99,scott,Yes,3.6
el zarape,supreme chicken,4.0,4.0,4.0,3.5,4.2,4.5,4.3,3.0,4.5,7.5,tom,Yes,3.8
taco villa,carnitas,3.0,2.0,5.0,4.5,3.5,4.5,4.5,2.5,1.5,5.99,scott,Yes,4.0
taco villa,carnitas,5.0,4.0,4.5,3.5,4.0,4.0,3.5,4.0,3.5,5.99,nuttida,Yes,4.0
lucha libre carlsbad,alambre california,3.2,3.8,4.0,4.0,4.0,3.8,3.4,4.3,5.0,8.5,scott,Yes,4.1
lucha libre carlsbad,surfin california,3.0,3.5,3.0,3.8,4.0,3.8,4.5,4.5,5.0,9.5,emily,Yes,3.9
lucha libre carlsbad,ado-haba california,3.2,3.5,1.0,3.0,3.0,3.4,4.0,4.5,4.0,8.5,scott,No,3.1
lucha libre carlsbad,ala tingada california,3.0,3.0,2.5,3.5,3.0,1.0,1.0,4.0,5.0,8.5,emily,No,1.5
taco villa,california,4.0,3.5,3.0,3.2,3.2,3.2,4.0,3.0,4.5,6.99,scott,No,3.2
taco villa,carnitas,3.5,2.5,3.0,4.0,3.5,2.5,2.5,3.3,4.0,5.99,scott,Yes,3.7
tony's fresh mexican food,la paz,4.0,5.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,9.99,mike,Yes,4.0
tony's fresh mexican food,adobada,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,7.39,nick g.,Yes,4.0
tony's fresh mexican food,adobada,4.5,3.5,4.5,4.0,3.5,2.0,1.0,3.5,4.0,7.39,ricardo,Yes,3.5
